Image 	 Size(Bytes) 	 Luminance 	 Contrast 	 AspectRatio 	 Width(Pixels) 	 Red 	 Green 	 Blue 
51312.jpg 	 126085 	 107.5751 	 0.1705 	 0.664444 	 450 	 92.3049 	 112.0254 	 124.6400 
51315.jpg 	 118961 	 142.2362 	 0.2082 	 0.664444 	 450 	 147.4608 	 141.5544 	 132.0272 
51336.jpg 	 130226 	 119.9148 	 0.2589 	 0.664444 	 450 	 121.5541 	 120.0923 	 114.7845 
52089.jpg 	 183372 	 154.6885 	 0.2972 	 0.664444 	 450 	 175.1072 	 149.0776 	 129.9710 
52208.jpg 	 149494 	 164.4209 	 0.2440 	 0.666667 	 450 	 171.8620 	 162.5563 	 154.5018 
52226.jpg 	 101380 	 88.1552 	 0.0929 	 0.666667 	 450 	 120.4623 	 80.6827 	 41.8769 
52244.jpg 	 132251 	 114.8966 	 0.3136 	 0.664444 	 450 	 112.0140 	 115.9842 	 116.9238 
52299.jpg 	 171825 	 119.7743 	 0.5264 	 0.664444 	 450 	 120.2081 	 120.1402 	 116.7500 
52311.jpg 	 106620 	 146.6687 	 0.1358 	 0.664444 	 450 	 143.6499 	 147.6716 	 149.3183 
53014.jpg 	 129927 	 140.4027 	 0.3380 	 0.664444 	 450 	 131.6848 	 142.4785 	 152.4208 
53056.jpg 	 107726 	 96.4821 	 0.1207 	 0.664444 	 450 	 96.6664 	 96.8638 	 94.0012 
53091.jpg 	 106608 	 45.0961 	 0.0847 	 0.664444 	 450 	 56.1961 	 40.6542 	 38.9766 
53097.jpg 	 183946 	 93.7977 	 0.5120 	 0.664444 	 450 	 103.4954 	 90.9518 	 83.0068 
53135.jpg 	 124064 	 113.2633 	 0.1710 	 0.664444 	 450 	 104.3017 	 116.9198 	 117.9510 
